"call_number","unit_id","incident_number","call_type","call_date","watch_date","received_dttm","entry_dttm","dispatch_dttm","response_dttm","on_scene_dttm","transport_dttm","hospital_dttm","call_final_disposition","available_dttm","address","city","zipcode_of_incident","battalion","station_area","box","original_priority","priority","final_priority","als_unit","call_type_group","number_of_alarms","unit_type","unit_sequence_in_call_dispatch","fire_prevention_district","supervisor_district","neighborhoods_analysis_boundaries","rowid","case_location","data_as_of","data_loaded_at",":@computed_region_ajp5_b2md"
"150261504","E41","15009994","Alarms","2015-01-26T00:00:00.000","2015-01-26T00:00:00.000","2015-01-26T11:26:19.000","2015-01-26T11:27:27.000","2015-01-26T11:30:33.000","2015-01-26T11:32:40.000",,,,"Fire","2015-01-26T11:37:39.000","EDDY ST/JONES ST","San Francisco","94102","B02","03","1545","3","3","3","false","Alarm","1","ENGINE","5","2","6","Tenderloin","150261504-E41","POINT (-122.4126 37.78393)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"150272194","T03","15010452","Alarms","2015-01-27T00:00:00.000","2015-01-27T00:00:00.000","2015-01-27T14:51:50.000","2015-01-27T14:53:37.000","2015-01-27T14:53:52.000","2015-01-27T14:55:02.000",,,,"Fire","2015-01-27T14:57:19.000","POLK ST/BUSH ST","San Francisco","94109","B04","03","1636","3","3","3","false","Alarm","1","TRUCK","3","4","3","Nob Hill","150272194-T03","POINT (-122.4203 37.7887)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","21"
"150280918","E06","15010693","Other","2015-01-28T00:00:00.000","2015-01-28T00:00:00.000","2015-01-28T08:32:15.000","2015-01-28T08:58:04.000","2015-01-28T08:58:17.000","2015-01-28T08:59:41.000","2015-01-28T09:02:33.000",,,"Unable to Locate","2015-01-28T09:05:59.000","VALENCIA ST/MARKET ST","San Francisco","94103","B02","36","3311","3","3","3","true","Alarm","1","ENGINE","1","2","6","Mission","150280918-E06","POINT (-122.42262 37.772503)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","20"
"150301268","T01","15011517","Alarms","2015-01-30T00:00:00.000","2015-01-30T00:00:00.000","2015-01-30T10:15:04.000","2015-01-30T10:16:21.000","2015-01-30T10:16:27.000","2015-01-30T10:18:51.000",,,,"Fire","2015-01-30T10:21:09.000","EDDY ST/LEAVENWORTH ST","San Francisco","94102","B02","03","1545","3","3","3","false","Alarm","1","TRUCK","3","2","6","Tenderloin","150301268-T01","POINT (-122.41424 37.783722)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"150310750","B08","15011887","Alarms","2015-01-31T00:00:00.000","2015-01-30T00:00:00.000","2015-01-31T07:51:26.000","2015-01-31T07:52:02.000","2015-01-31T07:52:16.000","2015-01-31T07:54:31.000","2015-01-31T07:57:43.000",,,"Fire","2015-01-31T08:07:09.000","02ND AVE/IRVING ST","San Francisco","94122","B05","12","7323","3","3","3","false","Alarm","1","CHIEF","3","5","5","Inner Sunset","150310750-B08","POINT (-122.45882 37.764366)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","14"
"150363875","B06","15014060","Alarms","2015-02-05T00:00:00.000","2015-02-05T00:00:00.000","2015-02-05T23:52:26.000","2015-02-05T23:53:45.000","2015-02-05T23:54:05.000","2015-02-05T23:55:43.000",,,,"Fire","2015-02-06T00:01:45.000","FRANCE AVE/MISSION ST","San Francisco","94112","B09","43","6123","3","3","3","false","Alarm","1","CHIEF","3","9","11","Excelsior","150363875-B06","POINT (-122.43833 37.720016)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","28"
"150373468","T11","15014522","Other","2015-02-06T00:00:00.000","2015-02-06T00:00:00.000","2015-02-06T20:30:18.000","2015-02-06T20:30:55.000","2015-02-06T20:31:06.000","2015-02-06T20:32:47.000","2015-02-06T20:37:51.000",,,"Fire","2015-02-06T20:47:45.000","PORTOLA DR/END","San Francisco","94131","B06","20","5353","3","3","3","false","Alarm","1","TRUCK","1","6","8","Twin Peaks","150373468-T11","POINT (-122.44665 37.74676)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","38"
"150382019","B02","15014793","Alarms","2015-02-07T00:00:00.000","2015-02-07T00:00:00.000","2015-02-07T14:11:42.000","2015-02-07T14:12:55.000","2015-02-07T14:13:10.000","2015-02-07T14:13:56.000","2015-02-07T14:17:05.000",,,"Fire","2015-02-07T14:21:30.000","ELLIS ST/END","San Francisco","94109","B02","03","1555","3","3","3","false","Alarm","1","CHIEF","3","2","6","Tenderloin","150382019-B02","POINT (-122.41478 37.784615)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"150403346","E41","15015748","Alarms","2015-02-09T00:00:00.000","2015-02-09T00:00:00.000","2015-02-09T20:04:13.000","2015-02-09T20:05:59.000","2015-02-09T20:06:18.000","2015-02-09T20:07:45.000","2015-02-09T20:08:40.000",,,"Fire","2015-02-09T20:15:51.000","HYDE ST/CALIFORNIA ST","San Francisco","94109","B01","41","1541","3","3","3","false","Alarm","1","ENGINE","1","4","3","Nob Hill","150403346-E41","POINT (-122.41739 37.790974)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","21"
"150410191","B09","15015829","Alarms","2015-02-10T00:00:00.000","2015-02-09T00:00:00.000","2015-02-10T01:59:05.000","2015-02-10T02:01:09.000","2015-02-10T02:01:43.000","2015-02-10T02:03:55.000","2015-02-10T02:11:22.000",,,"Fire","2015-02-10T02:28:28.000","LA BICA WAY/ROCKDALE DR","San Francisco","94127","B09","39","8653","3","3","3","false","Alarm","1","CHIEF","2","9","7","West of Twin Peaks","150410191-B09","POINT (-122.45304 37.741318)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","41"
"150411929","T02","15015991","Other","2015-02-10T00:00:00.000","2015-02-10T00:00:00.000","2015-02-10T13:39:49.000","2015-02-10T13:44:03.000","2015-02-10T13:45:55.000","2015-02-10T13:47:17.000","2015-02-10T13:50:58.000",,,"Fire","2015-02-10T14:05:26.000","VALLEJO ST/FLORENCE ST","San Francisco","94133","B01","41","1512","2","2","2","false","Alarm","1","TRUCK","1","1","3","Nob Hill","150411929-T02","POINT (-122.41481 37.79782)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","21"
"150430425","E03","15016612","Alarms","2015-02-12T00:00:00.000","2015-02-11T00:00:00.000","2015-02-12T05:41:02.000","2015-02-12T05:42:35.000","2015-02-12T05:42:48.000","2015-02-12T05:43:55.000","2015-02-12T05:46:40.000",,,"Fire","2015-02-12T05:50:54.000","LARKIN ST/GOLDEN GATE AVE","San Francisco","94102","B02","03","1644","3","3","3","true","Alarm","1","ENGINE","1","2","6","Tenderloin","150430425-E03","POINT (-122.417145 37.78145)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"150431518","B03","15016693","Alarms","2015-02-12T00:00:00.000","2015-02-12T00:00:00.000","2015-02-12T11:35:33.000","2015-02-12T11:37:28.000","2015-02-12T11:38:44.000","2015-02-12T11:45:50.000",,,,"Fire","2015-02-12T11:54:42.000","ELLIS ST/TAYLOR ST","San Francisco","94102","B03","01","1452","3","3","3","false","Alarm","1","CHIEF","3","3","6","Tenderloin","150431518-B03","POINT (-122.41114 37.785076)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"150432640","T07","15016800","Alarms","2015-02-12T00:00:00.000","2015-02-12T00:00:00.000","2015-02-12T16:41:00.000","2015-02-12T16:42:23.000","2015-02-12T16:42:30.000","2015-02-12T16:44:11.000","2015-02-12T16:46:29.000",,,"Fire","2015-02-12T16:54:16.000","TRAINOR ST/14TH ST","San Francisco","94103","B02","07","5216","3","3","3","false","Alarm","1","TRUCK","3","2","9","Mission","150432640-T07","POINT (-122.41454 37.7686)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","20"
"150433473","B04","15016886","Alarms","2015-02-12T00:00:00.000","2015-02-12T00:00:00.000","2015-02-12T20:22:12.000","2015-02-12T20:23:48.000","2015-02-12T20:24:12.000","2015-02-12T20:25:36.000","2015-02-12T20:33:58.000",,,"Fire","2015-02-12T20:44:15.000","UNION ST/FILLMORE ST","San Francisco","94123","B04","16","3552","3","3","3","false","Alarm","1","CHIEF","3","4","2","Marina","150433473-B04","POINT (-122.43549 37.79709)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","13"
"150441891","B01","15017107","Alarms","2015-02-13T00:00:00.000","2015-02-13T00:00:00.000","2015-02-13T13:02:57.000","2015-02-13T13:04:24.000","2015-02-13T13:04:32.000","2015-02-13T13:05:40.000","2015-02-13T13:09:03.000",,,"Fire","2015-02-13T13:13:11.000","KEARNY ST/CLAY ST","San Francisco","94111","B01","13","1233","3","3","3","false","Alarm","1","CHIEF","3","1","3","Chinatown","150441891-B01","POINT (-122.40479 37.794453)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","6"
"150442442","T02","15017165","Alarms","2015-02-13T00:00:00.000","2015-02-13T00:00:00.000","2015-02-13T15:57:28.000","2015-02-13T15:58:12.000","2015-02-13T15:58:36.000","2015-02-13T15:59:51.000",,,,"Fire","2015-02-13T16:00:30.000","STOCKTON ST/BROADWAY","San Francisco","94133","B01","02","1333","3","3","3","false","Alarm","1","TRUCK","2","1","3","Chinatown","150442442-T02","POINT (-122.408615 37.797626)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","6"
"150442932","74","15017220","Medical Incident","2015-02-13T00:00:00.000","2015-02-13T00:00:00.000","2015-02-13T18:18:21.000","2015-02-13T18:19:51.000","2015-02-13T18:20:32.000",,,,,"Code 2 Transport","2015-02-13T18:24:21.000","24TH ST/OSAGE ALY","San Francisco","94110","B06","11","5529","2","2","2","true","Non Life-threatening","1","MEDIC","2","6","9","Mission","150442932-74","POINT (-122.419014 37.752205)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","20"
"150443840","B02","15017298","Outside Fire","2015-02-13T00:00:00.000","2015-02-13T00:00:00.000","2015-02-13T22:31:50.000","2015-02-13T22:33:54.000","2015-02-13T22:34:11.000","2015-02-13T22:36:30.000",,,,"Fire","2015-02-13T22:41:15.000","ASHBURY ST/PAGE ST","San Francisco","94117","B05","21","4513","3","3","3","false","Fire","1","CHIEF","3","5","5","Haight Ashbury","150443840-B02","POINT (-122.44712 37.770935)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","3"
"150461781","B02","15017908","Alarms","2015-02-15T00:00:00.000","2015-02-15T00:00:00.000","2015-02-15T13:07:21.000","2015-02-15T13:08:43.000","2015-02-15T13:09:08.000","2015-02-15T13:10:25.000","2015-02-15T13:12:40.000",,,"Fire","2015-02-15T13:19:35.000","POLK ST/EDDY ST","San Francisco","94102","B02","03","1643","3","3","3","false","Alarm","1","CHIEF","2","2","6","Tenderloin","150461781-B02","POINT (-122.41918 37.7831)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"150480558","AP","15018531","Other","2015-02-17T00:00:00.000","2015-02-16T00:00:00.000","2015-02-17T07:05:11.000","2015-02-17T07:05:11.000","2015-02-17T07:05:11.000","2015-02-17T07:05:11.000","2015-02-17T07:05:11.000",,,"Fire","2015-02-17T07:07:15.000","CALL BOX: SF INTERNATIONAL AIRPORT",,,"B99","44","6913","3","3","3","false","Alarm","1","AIRPORT","1","None","None","None","150480558-AP","POINT (-122.344717912 37.704548808)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000",
"150483339","B04","15018743","Alarms","2015-02-17T00:00:00.000","2015-02-17T00:00:00.000","2015-02-17T19:50:31.000","2015-02-17T19:51:44.000","2015-02-17T19:52:03.000","2015-02-17T19:53:19.000","2015-02-17T19:55:29.000",,,"Fire","2015-02-17T19:58:05.000","CLAY ST/LARKIN ST","San Francisco","94109","B04","41","1634","3","3","3","false","Alarm","1","CHIEF","3","4","3","Russian Hill","150483339-B04","POINT (-122.4194 37.792595)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","32"
"150483630","E19","15018768","Other","2015-02-17T00:00:00.000","2015-02-17T00:00:00.000","2015-02-17T21:29:52.000","2015-02-17T21:31:12.000","2015-02-17T21:32:20.000","2015-02-17T21:33:25.000","2015-02-17T21:37:11.000",,,"Fire","2015-02-17T21:40:29.000","FONT BLVD/GONZALEZ DR","San Francisco","94132","B08","19","8423","3","3","3","true","Alarm","1","ENGINE","1","8","7","Lakeshore","150483630-E19","POINT (-122.47592 37.71679)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","16"
"150500446","B03","15019205","Alarms","2015-02-19T00:00:00.000","2015-02-18T00:00:00.000","2015-02-19T04:53:28.000","2015-02-19T04:54:39.000","2015-02-19T04:54:52.000","2015-02-19T04:56:43.000","2015-02-19T04:58:27.000",,,"Fire","2015-02-19T06:08:10.000","04TH ST/KING ST","San Francisco","94107","B03","08","2236","3","3","3","false","Alarm","1","CHIEF","2","3","6","Mission Bay","150500446-B03","POINT (-122.394035 37.776333)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","4"
"150503984","T15","15019514","Alarms","2015-02-19T00:00:00.000","2015-02-19T00:00:00.000","2015-02-19T23:38:03.000","2015-02-19T23:40:18.000","2015-02-19T23:40:42.000","2015-02-19T23:42:29.000",,,,"Fire","2015-02-19T23:47:19.000","PERU AVE/LISBON ST","San Francisco","94112","B09","43","6132","3","3","3","false","Alarm","1","TRUCK","3","9","11","Excelsior","150503984-T15","POINT (-122.4289 37.72822)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","7"
"150510543","E11","15019574","Alarms","2015-02-20T00:00:00.000","2015-02-19T00:00:00.000","2015-02-20T06:19:31.000","2015-02-20T06:20:39.000","2015-02-20T06:20:46.000","2015-02-20T06:22:16.000","2015-02-20T06:24:16.000",,,"Fire","2015-02-20T06:49:20.000","VALENCIA ST/26TH ST","San Francisco","94110","B06","11","5535","3","3","3","true","Alarm","1","ENGINE","2","6","9","Mission","150510543-E11","POINT (-122.42036 37.748905)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","20"
"150520517","E02","15019929","Alarms","2015-02-21T00:00:00.000","2015-02-20T00:00:00.000","2015-02-21T03:04:58.000","2015-02-21T03:06:40.000","2015-02-21T03:07:13.000","2015-02-21T03:09:15.000","2015-02-21T03:12:35.000",,,"Fire","2015-02-21T03:19:17.000","GREEN ST/JONES ST","San Francisco","94133","B01","02","1441","3","3","3","true","Alarm","1","ENGINE","2","1","3","Russian Hill","150520517-E02","POINT (-122.41557 37.79868)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","21"
"150522038","E41","15020045","Alarms","2015-02-21T00:00:00.000","2015-02-21T00:00:00.000","2015-02-21T13:46:30.000","2015-02-21T13:46:45.000","2015-02-21T13:46:57.000","2015-02-21T13:47:53.000","2015-02-21T13:50:44.000",,,"Code 2 Transport","2015-02-21T13:52:58.000","HYDE ST/TURK ST","San Francisco","94102","B02","03","1554","3","3","3","false","Alarm","1","ENGINE","2","2","6","Tenderloin","150522038-E41","POINT (-122.415695 37.782585)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"150522249","T07","15020066","Alarms","2015-02-21T00:00:00.000","2015-02-21T00:00:00.000","2015-02-21T14:47:00.000","2015-02-21T14:48:13.000","2015-02-21T14:49:12.000","2015-02-21T14:50:29.000",,,,"Fire","2015-02-21T14:56:38.000","17TH ST/MISSION ST","San Francisco","94110","B02","07","5236","3","3","3","false","Alarm","1","TRUCK","3","2","9","Mission","150522249-T07","POINT (-122.41951 37.763428)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","20"
"150542007","E32","15020783","HazMat","2015-02-23T00:00:00.000","2015-02-23T00:00:00.000","2015-02-23T13:41:44.000","2015-02-23T13:44:28.000","2015-02-23T13:45:00.000","2015-02-23T13:47:12.000",,,,"Fire","2015-02-23T13:54:26.000","ALEMANY BLVD/ALEMANY BLVD OFF RAMP","San Francisco","94110","B09","32","5681","3","3","3","false","Alarm","1","ENGINE","3","10","9","Bernal Heights","150542007-E32","POINT (-122.40978 37.735466)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","2"
"150542162","E38","15020800","Alarms","2015-02-23T00:00:00.000","2015-02-23T00:00:00.000","2015-02-23T14:24:05.000","2015-02-23T14:25:45.000","2015-02-23T14:26:05.000","2015-02-23T14:26:59.000","2015-02-23T14:29:29.000",,,"Fire","2015-02-23T14:40:19.000","SACRAMENTO ST/GOUGH ST","San Francisco","94109","B04","38","3254","3","3","3","false","Alarm","1","ENGINE","1","4","2","Pacific Heights","150542162-E38","POINT (-122.425804 37.790874)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","30"
"150560905","E25","15021353","Other","2015-02-25T00:00:00.000","2015-02-25T00:00:00.000","2015-02-25T08:56:38.000","2015-02-25T08:57:30.000","2015-02-25T08:57:37.000","2015-02-25T08:58:51.000","2015-02-25T09:01:54.000",,,"Fire","2015-02-25T09:04:18.000","03RD ST/23RD ST","San Francisco","94107","B10","25","2732","2","2","2","false","Alarm","1","ENGINE","1","10","10","Potrero Hill","150560905-E25","POINT (-122.388 37.75539)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","26"
"150570639","E16","15021690","Alarms","2015-02-26T00:00:00.000","2015-02-25T00:00:00.000","2015-02-26T07:25:57.000","2015-02-26T07:27:49.000","2015-02-26T07:28:31.000","2015-02-26T07:30:20.000","2015-02-26T07:39:01.000",,,"Fire","2015-02-26T07:39:04.000","MALLORCA WAY/CAPRA WAY","San Francisco","94123","B04","16","3564","3","3","3","true","Alarm","1","ENGINE","2","4","2","Marina","150570639-E16","POINT (-122.43862 37.80289)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","13"
"150571155","E12","15021727","Alarms","2015-02-26T00:00:00.000","2015-02-26T00:00:00.000","2015-02-26T10:14:34.000","2015-02-26T10:15:03.000","2015-02-26T10:15:12.000","2015-02-26T10:16:34.000",,,,"Fire","2015-02-26T10:18:05.000","STANYAN ST/FREDERICK ST","San Francisco","94117","B05","12","4551","3","3","3","true","Alarm","1","ENGINE","2","5","5","Haight Ashbury","150571155-E12","POINT (-122.45295 37.766373)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","14"
"150573484","T16","15021940","Alarms","2015-02-26T00:00:00.000","2015-02-26T00:00:00.000","2015-02-26T20:40:35.000","2015-02-26T20:41:52.000","2015-02-26T20:43:28.000","2015-02-26T20:44:55.000",,,,"Fire","2015-02-26T20:46:03.000","GREENWICH ST/LARKIN ST","San Francisco","94109","B01","41","1626","3","3","3","false","Alarm","1","TRUCK","3","1","2","Russian Hill","150573484-T16","POINT (-122.42107 37.800835)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","32"
"150573670","B02","15021962","Alarms","2015-02-26T00:00:00.000","2015-02-26T00:00:00.000","2015-02-26T21:35:18.000","2015-02-26T21:36:33.000","2015-02-26T21:39:23.000",,,,,"Fire","2015-02-26T21:44:48.000","EDDY ST/LEAVENWORTH ST","San Francisco","94102","B02","03","1545","3","3","3","false","Alarm","1","CHIEF","3","2","6","Tenderloin","150573670-B02","POINT (-122.41424 37.783722)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"150592997","E41","15022654","Outside Fire","2015-02-28T00:00:00.000","2015-02-28T00:00:00.000","2015-02-28T19:03:04.000","2015-02-28T19:05:19.000","2015-02-28T19:05:48.000","2015-02-28T19:06:50.000",,,,"Fire","2015-02-28T19:07:34.000","SHANNON ST/POST ST","San Francisco","94109","B01","03","1462","3","3","3","false","Fire","1","ENGINE","2","1","3","Tenderloin","150592997-E41","POINT (-122.41253 37.787766)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"150612346","T07","15023346","Elevator / Escalator Rescue","2015-03-02T00:00:00.000","2015-03-02T00:00:00.000","2015-03-02T15:46:42.000","2015-03-02T15:47:53.000","2015-03-02T15:48:31.000","2015-03-02T15:49:37.000",,,,"Fire","2015-03-02T16:09:11.000","17TH ST/DE HARO ST","San Francisco","94107","B03","29","2413","3","3","3","false","Alarm","1","TRUCK","1","2","10","Mission Bay","150612346-T07","POINT (-122.401596 37.76484)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","4"
"150620909","85","15023586","Medical Incident","2015-03-03T00:00:00.000","2015-03-03T00:00:00.000","2015-03-03T08:47:29.000","2015-03-03T08:47:50.000","2015-03-03T08:49:25.000","2015-03-03T08:49:54.000",,,,"Cancelled","2015-03-03T08:54:16.000","18TH ST/FOLSOM ST","San Francisco","94110","B02","07","5424","2","2","2","true","Non Life-threatening","1","MEDIC","1","6","9","Mission","150620909-85","POINT (-122.415 37.7621)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","20"
"150621389","T16","15023625","Alarms","2015-03-03T00:00:00.000","2015-03-03T00:00:00.000","2015-03-03T10:53:40.000","2015-03-03T10:54:02.000","2015-03-03T10:55:02.000","2015-03-03T10:55:49.000","2015-03-03T10:58:56.000",,,"Fire","2015-03-03T11:03:57.000","FRANCISCO ST/POLK ST","San Francisco","94109","B04","16","3144","3","3","3","false","Alarm","1","TRUCK","3","1","2","Russian Hill","150621389-T16","POINT (-122.42327 37.803413)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","32"
"150622178","E06","15023701","Alarms","2015-03-03T00:00:00.000","2015-03-03T00:00:00.000","2015-03-03T14:23:44.000","2015-03-03T14:25:05.000","2015-03-03T14:25:44.000","2015-03-03T14:26:39.000","2015-03-03T14:29:17.000",,,"Fire","2015-03-03T14:33:16.000","ALBION ST/16TH ST","San Francisco","94110","B02","06","5235","3","3","3","true","Alarm","1","ENGINE","2","2","8","Mission","150622178-E06","POINT (-122.42311 37.764843)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","20"
"150622894","B04","15023765","Alarms","2015-03-03T00:00:00.000","2015-03-03T00:00:00.000","2015-03-03T17:21:02.000","2015-03-03T17:22:07.000","2015-03-03T17:22:19.000","2015-03-03T17:23:23.000",,,,"Fire","2015-03-03T17:33:08.000","FILBERT ST/SCOTT ST","San Francisco","94123","B04","16","4116","3","3","3","false","Alarm","1","CHIEF","2","4","2","Marina","150622894-B04","POINT (-122.44061 37.797394)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","13"
"150631050","E01","15023984","Alarms","2015-03-04T00:00:00.000","2015-03-04T00:00:00.000","2015-03-04T09:15:00.000","2015-03-04T09:16:01.000","2015-03-04T09:18:05.000","2015-03-04T09:20:42.000","2015-03-04T09:20:42.000",,,"Fire","2015-03-04T09:25:11.000","06TH ST/MINNA ST","San Francisco","94103","B03","01","2251","3","3","3","true","Alarm","1","ENGINE","1","3","6","South of Market","150631050-E01","POINT (-122.40816 37.780537)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","34"
"150641602","E08","15024432","Alarms","2015-03-05T00:00:00.000","2015-03-05T00:00:00.000","2015-03-05T11:47:25.000","2015-03-05T11:47:36.000","2015-03-05T11:48:02.000","2015-03-05T11:48:09.000","2015-03-05T11:49:18.000",,,"Fire","2015-03-05T11:49:51.000","CLARA ST/06TH ST","San Francisco","94107","B03","08","2254","3","3","3","true","Alarm","1","ENGINE","1","3","6","South of Market","150641602-E08","POINT (-122.4046 37.7777)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","34"
"150642190","57","15024494","Water Rescue","2015-03-05T00:00:00.000","2015-03-05T00:00:00.000","2015-03-05T14:29:28.000","2015-03-05T14:31:20.000","2015-03-05T14:32:03.000","2015-03-05T14:32:25.000",,,,"Code 2 Transport","2015-03-05T14:33:51.000","BALBOA ST/GREAT HWY","San Francisco","94121","B07","34","7314","3","3","3","true","Fire","1","MEDIC","13","7","1","Outer Richmond","150642190-57","POINT (-122.51129 37.775078)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","29"
"150642709","T11","15024538","Vehicle Fire","2015-03-05T00:00:00.000","2015-03-05T00:00:00.000","2015-03-05T16:44:30.000","2015-03-05T16:44:30.000","2015-03-05T16:44:38.000","2015-03-05T16:46:01.000","2015-03-05T16:48:14.000",,,"Fire","2015-03-05T16:56:14.000","24TH ST/GUERRERO ST","San Francisco","94110","B06","11","5524","3","3","3","false","Fire","1","TRUCK","2","6","8","Mission","150642709-T11","POINT (-122.42288 37.751972)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","20"
"150642769","E21","15024546","Alarms","2015-03-05T00:00:00.000","2015-03-05T00:00:00.000","2015-03-05T16:57:50.000","2015-03-05T16:58:04.000","2015-03-05T16:58:18.000","2015-03-05T17:00:38.000",,,,"Fire","2015-03-05T17:05:02.000","FULTON ST/WILLARD ST","San Francisco","94118","B07","21","4561","3","3","3","false","Alarm","1","ENGINE","2","7","1","Golden Gate Park","150642769-E21","POINT (-122.45628 37.774555)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","12"
"150652323","B01","15024885","Alarms","2015-03-06T00:00:00.000","2015-03-06T00:00:00.000","2015-03-06T14:17:59.000","2015-03-06T14:19:12.000","2015-03-06T14:19:18.000","2015-03-06T14:21:11.000",,,,"Fire","2015-03-06T14:23:43.000","BAY ST/MASON ST","San Francisco","94133","B01","28","1433","3","3","3","false","Alarm","1","CHIEF","2","1","3","North Beach","150652323-B01","POINT (-122.413605 37.80562)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","23"
"150660225","T06","15025082","Alarms","2015-03-07T00:00:00.000","2015-03-06T00:00:00.000","2015-03-07T01:21:46.000","2015-03-07T01:22:21.000","2015-03-07T01:22:46.000",,,,,"Fire","2015-03-07T01:26:49.000","18TH ST/CASTRO ST","San Francisco","94114","B05","06","5415","3","3","3","false","Alarm","1","TRUCK","2","5","8","Castro/Upper Market","150660225-T06","POINT (-122.435 37.760887)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","5"
"150662946","T08","15025345","Alarms","2015-03-07T00:00:00.000","2015-03-07T00:00:00.000","2015-03-07T18:50:37.000","2015-03-07T18:51:27.000","2015-03-07T18:51:37.000","2015-03-07T18:53:21.000","2015-03-07T18:55:15.000",,,"Cancelled","2015-03-07T19:43:56.000","TOWNSEND ST/LUSK ST","San Francisco","94107","B03","08","2171","3","3","3","false","Alarm","1","TRUCK","3","3","6","South of Market","150662946-T08","POINT (-122.39386 37.777977)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","34"
"150663485","T16","15025405","Alarms","2015-03-07T00:00:00.000","2015-03-07T00:00:00.000","2015-03-07T21:50:07.000","2015-03-07T21:50:52.000","2015-03-07T21:51:14.000","2015-03-07T21:52:15.000","2015-03-07T21:55:41.000",,,"Fire","2015-03-07T21:58:12.000","JEFFERSON ST/BRODERICK ST","San Francisco","94123","B04","16","4216","3","3","3","false","Alarm","1","TRUCK","2","4","2","Marina","150663485-T16","POINT (-122.44546 37.804424)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","13"
"150671783","E35","15025633","Water Rescue","2015-03-08T00:00:00.000","2015-03-08T00:00:00.000","2015-03-08T14:23:57.000","2015-03-08T14:25:07.000","2015-03-08T14:29:51.000",,,,,"Cancelled","2015-03-08T14:31:52.000",,,,"B04","94","AI02","3","3","3","true","Fire","1","ENGINE","3","None","None","None","150671783-E35",,"2024-02-05T03:27:52.000","2024-02-05T10:56:25.000",
"150681403","E43","15025942","Alarms","2015-03-09T00:00:00.000","2015-03-09T00:00:00.000","2015-03-09T11:07:19.000","2015-03-09T11:09:47.000","2015-03-09T11:10:06.000","2015-03-09T11:11:51.000","2015-03-09T11:14:54.000",,,"Fire","2015-03-09T11:29:15.000","VELASCO AVE/PUEBLO ST","San Francisco","94134","B09","43","6247","3","3","3","true","Alarm","1","ENGINE","1","9","10","Visitacion Valley","150681403-E43","POINT (-122.41681 37.709232)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","40"
